Market_Name,Product_Name,Price
Migros,Uno Fırından Tam Buğday 450 G,11.13
Migros,Uno Tandır Lavaş 8'li 376 G,18.25
Carrefour,Uno İki Kat Tahıllı Tava Ekmeği 550 G,29.9
Migros,Pakmaya Çift Renkli Damla Çikolata 70 G,15.9
Migros,Pakmaya Sütlü Parça Çikolata 70 G,12.75
Carrefour,Pakmaya Bitter Parça Çikolata 70 G,89.5
Carrefour,Dr.Oetker Kakaolu Kek Karışımı 350 G,33.9
Carrefour,Dr.Oetker Sade Kek Karışımı 450 G,94.5
Carrefour,Dr.Oetker Limonlu Kek Karışımı 440 G,129.9
Carrefour,Dr.Oetker Limonlu Şeker 14 G,15.9
Carrefour,Pakmaya Bitter Pul Çikolata 100 G,49.9
Carrefour,Pakmaya Sütlü Pul Çikolata 100 G,41.93
Carrefour,Dr.Oetker Hızlı Nişasta 10 G,59.9
Carrefour,Dr.Oetker Çikolata Şelalesi 195 G,89.9
Carrefour,Dr.Oetker Portakallı Şeker 14 G,34.88
Carrefour,Dr.Oetker Hızlı Maya 32 G,19.9
Migros,Kenton Krem Şanti Sade 300 G,29.9
Carrefour,Dr.Oetker Puding Bitter Çikolatalı 111 G,19.5
Carrefour,Dr.Oetker Trileçe Karamel Soslu 315 G,39.9
Carrefour,Dr.Oetker Supangle 143 G,69.95
Carrefour,Pakmaya Çikolatalı Puding 106 G,59.9
Carrefour,Dr.Oetker Keşkül 139 G,79.9
Carrefour,Pakmaya Aşure 230 G,56.9
Carrefour,Pakmaya Supangle 138 G,44.9
Carrefour,Pakmaya Tavuk Göğsü 130 G,12.5
Carrefour,Uno Grissuno Kepekli 150 G,89.9
Carrefour,Uno Grissuno Yulaflı Karabuğdaylı 150 G,69.9
Migros,Su Böreği Kg,9.5
Migros,Profiterol Kg,19.95
Migros,Nestle Damak Sütlü Çikolata Kaplı Antep Fıstıklı Draje 50 G,12.9
Carrefour,Ülker Çikolata Bisküvili Draje 150 G,77.0
Migros,Peyman Çitliyo Kara Şimşek Klasik 120 G,14.93
Migros,Tadım Kabuklu Yer Fıstığı 250 G,8.9
Migros,Tadım Fındık İçi 90 G,12.75
Carrefour,Peyman Çitliyo Kara Şimşek Bol Tuzlu 120 G,34.9
Carrefour,Eti Form Çok Tahıllı Buğday Patlağı 41 g,32.5
Migros,Ülker Bebe Bisküvisi 400 G,9.6
Migros,Pringles Nacho Peynirli 165 G,16.0
Migros,Tadım Güneşte Kurutulmuş Kayısı 140 G,7.0
Migros,Tadım Kuru Kayısı 140 G,5.25
Migros,Tadım Çiğ Badem 180 G,7.9
Migros,Peyman Bahçeden İç Ceviz 140 G,5.53
Migros,Tadım Kuru Erik 125 G,19.5
Migros,Tadım Çiğ Badem 90 G,3.0
Migros,Tadım Ceviz İçi 70 G,13.5
Migros,Züber Lokma Antep Fıstığı Kaplı Meyve Topu 96 G,9.5
Migros,Züber Lokma Hindistan Cevizi Kaplı Meyve Topu 96 G,16.45
Migros,Züber Lokma Fındık Kaplı Meyve Topu 96 G,18.55
Carrefour,Nesquik Bar 25 G,8.75
Carrefour,Peyman Bahçeden Fındıklı Bar 30 G,14.9
Migros,Züber Kidz Çilekli Meyve Küpü 49 G,5.25
Carrefour,Peyman Bahçeden Antep Fıstıklı Bar 27 G,35.5
Carrefour,Vivident 45 Dakika Sakız Nane Aromalı 33 G,99.9
Carrefour,Tipitip 27 G,59.9
Carrefour,Vivident Storming Sakız Damla Sakızı Aromalı 33 G,69.9
Carrefour,Vivident Extra Sakız Mentol&Nane Aromalı 66 G Şişe,46.0
Carrefour,Vivident Extra Sakız Mentol&Nane Aromalı 26 G,24.9
Carrefour,Vivident Active Sakız Nane Aromalı 33 G,28.9
Carrefour,Big Babol Çılgın Meyveler Sakız Karışık Meyve Aromalı 36 G,12.5
Migros,Vivident Storming Sakız Karpuz Aromalı 33 G,9.9
Carrefour,Vivident Yeşil Nane Aromalı Sakız 67 G Şişe,39.9
Carrefour,Vivident Storming Sakız Çilek Aromalı 33 G,34.9
Carrefour,Vivident Cube Nane Aromalı Sakız 86 G,249.9
Carrefour,Big Babol Fantastic World Meyve Aromalı Sakız 90 G,69.9
Carrefour,Kent Olips C Vitaminli Stick 28 G,13.0
Carrefour,Polo Naneli Şeker 34 G,19.3
Migros,Haribo Altın Ayıcık 80 G,6.5
Carrefour,Haribo Starmix 80 G,50.0
Migros,Haribo Chamallows 150 G,15.25
Carrefour,Haribo Happy Cola 80 G,18.0
Migros,Haribo Phantasia 80 G,1.75
Migros,Haribo Fizz Fries 70 G,11.9
Carrefour,Kent Missbon Tereyağlı Şeker 43 G,20.25
Carrefour,Yupo Jelly Portakal Halkası 70 G,13.9
Carrefour,Haribo Berries 80 G,34.9
Migros,Çaykur Tiryaki Çayı 1000 G,12.9
Migros,Çaykur Altınbaş Çay 500 G,28.0
Migros,Çaykur Rize Turist Çay 1000 G,44.9
Carrefour,Çaykur Filiz Çay 500 G,52.9
Carrefour,Çaykur 42 Nolu Tirebolu Çayı 500 G,199.9
Migros,Çaykur Rize Turist Çay 500 G,5.25
Migros,Tirebolu 42 Filiz Çay 1000 G,8.5
Migros,Çaykur Çay Çiçeği 200 G,11.95
Migros,Lipton B6 Vitaminli Çay 18'li 36 G,18.75
Migros,Kurukahveci Mehmet Efendi Türk Kahvesi 100 G,4.25
Migros,Tchibo Türk Kahvesi 100 G,19.5
Migros,Nescafe Classic Ekonomik Paket 200 G,3.0
Migros,Nescafe Gold Ekonomik Paket 180 G,14.0
Migros,Tchibo Gold Selection Filtre Kahve 250 G,4.25
Migros,Jacobs Selection Filtre Kahve 250 G,4.0
Migros,Kurukahveci Mehmet Efendi Kafeinsiz Türk Kahvesi 50 G,20.0
Migros,Tchibo Black'N White Filtre Kahve 250 G,3.5
Carrefour,Cezbeli Türk Kahvesi 100 G,22.9
Migros,Tchibo Filtre Kahve Kağıdı 80'li,4.5
Migros,Jacobs Monarch Filtre Kahve 500 G,14.0
Migros,Jacobs Monarch Filtre Kahve 250 G,23.9
Migros,Tchibo Espresso Sicilia Öğütülmüş Kahve 250 G,6.0
Migros,Tchibo Exclusive Decaf Kafeinsiz Çözünebilir Kahve 100 G,15.9
Carrefour,Nescafe Gold Espresso 2 G,12.0
Migros,Davidoff Fine Aroma Filtre Kahve 250 G,22.75
Migros,Lipton Chai Tea Latte Tekli 18 G,3.5
Migros,Tchibo Black'N White Çözünebilir Kahve 100 G,3.5
Migros,Davidoff Espresso 57 Çekirdek Kahve 500 G,3.33
